video_id,trending_date,title,channel_title,category_id,category_name,publish_time,tags,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,description,country
bnGbmPIoLZa,2023-07-18,Reacting To the Internet,Marvel,26,Howto & Style,2023-07-10T07:08:00.000Z,ai|learning a new language|trending|the internet|viral|space|style,8767718,957592,27061,173313,False,False,Watch this video about food. Subscribe for more!,IN
QSReOIpDr7S,2024-01-11,Why 100 Fans Changed Everything,Lofi Girl,25,News & Politics,2023-12-23T06:45:00.000Z,famous youtubers|youtube|news|minecraft|politics|trending|food|viral|this challenge,1372880,141970,6732,23935,False,False,Watch this video about this challenge. Subscribe for more!,MX
YBey-H_3aUR,2024-03-28,Building Space From Scratch,Smosh,23,Comedy,2024-03-16T07:08:00.000Z,comedy|this challenge|trending|history|youtube|building a house|viral,3563488,88059,12941,96073,False,False,Watch this video about the algorithm. Subscribe for more!,JP
U0_IiQ8kHM9,2024-09-27,The REAL Reason Behind Food,PewDiePie,20,Gaming,2024-09-26T03:59:00.000Z,history|youtube|viral|100 fans|space|trending,11985953,528426,175193,92969,False,False,Watch this video about ai. Subscribe for more!,US
EAgQwA3dPPd,2023-07-25,Rating 100 Fans With PewDiePie,Veritasium,15,Pets & Animals,2023-07-03T15:13:00.000Z,this challenge|the government|science|breaking a world record|history|youtube|animals|pets|viral|100 fans,2550889,276103,37827,34449,False,False,Watch this video about minecraft. Subscribe for more!,FR
js9LIVdLG2k,2024-03-10,Building AI From Scratch,Dude Perfect,1,Film & Animation,2024-03-01T14:18:00.000Z,famous youtubers|animation|film|breaking a world record,203828,24366,2922,6144,False,False,Watch this video about this challenge. Subscribe for more!,CA
KgIGiwepsCI,2022-09-26,We Tried Space So You Don't Have To,Kurzgesagt,20,Gaming,2022-09-04T20:19:00.000Z,gaming|the algorithm|space|viral|building a house,2133869,242350,2610,57060,False,False,Watch this video about this challenge. Subscribe for more!,JP
TJh8SjcxJBc,2022-04-15,1 Things You Didn't Know About Minecraft,Ellen,29,Nonprofits & Activism,2022-04-12T20:27:00.000Z,this experiment|the algorithm|science|the ocean|learning a new language|viral|space|100 fans|activism|trending,1439984,169889,7024,29468,False,False,Watch this video about food. Subscribe for more!,US
39rPz_I8h_l,2024-07-31,We Tried this Experiment So You Don't Have To,Jimmy Fallon,28,Science & Technology,2024-07-19T09:52:00.000Z,viral|food|science|space|youtube,3468615,77580,19546,57194,False,False,Watch this video about the internet. Subscribe for more!,MX
A8R5NtJasBL,2022-09-13,I Challenged History,Kurzgesagt,27,Education,2022-08-20T09:32:00.000Z,youtube|viral|climate change|building a house|money,862805,51975,6985,8157,False,False,Watch this video about 100 fans. Subscribe for more!,AU
yzjS534XoZS,2022-10-29,World's Cheapest Space,NBA,17,Sports,2022-10-28T01:15:00.000Z,climate change|viral|trending|sports|youtube|living underground|the internet|the algorithm,9319225,1012195,138074,280901,False,False,Watch this video about this challenge. Subscribe for more!,JP
oSTeAIAnA5L,2023-07-17,Rating Money With a Billionaire,Ellen,24,Entertainment,2023-07-02T02:45:00.000Z,breaking a world record|viral|coding an app|entertainment|youtube|trending|learning a new language|food,3018334,156865,42146,29709,False,False,Watch this video about food. Subscribe for more!,GB
dynuWyW1qfb,2024-12-29,Building 100 Fans From Scratch,CollegeHumor,23,Comedy,2024-12-28T12:37:00.000Z,this experiment|tiktok|100 fans|youtube|comedy,3920842,330428,16690,82962,False,False,Watch this video about the government. Subscribe for more!,MX
eSOgX2Mh_Yw,2022-08-23,How Climate Change Actually Works,Warner Music,10,Music,2022-07-29T05:19:00.000Z,youtube|music|science|coding an app|trending|breaking a world record|viral,2943584,340917,30965,88382,False,False,Watch this video about this challenge. Subscribe for more!,MX
pDNyb2lnZv4,2024-08-10,Rating Climate Change With MrBeast,NowThis News,25,News & Politics,2024-07-27T23:37:00.000Z,trending|the algorithm|building a house|money|politics|news|youtube|science|viral,137204,14142,422,4919,False,False,Watch this video about amazon. Subscribe for more!,MX
UuV8SmVrLWM,2024-12-23,Learning a New Language for 10 Hours Straight,Linus Tech Tips,28,Science & Technology,2024-12-11T13:47:00.000Z,this challenge|technology|science|the ocean,2056791,134461,17192,26879,False,False,Watch this video about space. Subscribe for more!,US
8fpJAMNXy6t,2024-06-21,Famous YouTubers Is Not What You Think,Sony Music,22,People & Blogs,2024-06-10T05:03:00.000Z,surviving on $1|people|youtube|minecraft|blogs|space|this challenge|swimming with sharks|viral,2901238,257180,13465,96872,False,False,Watch this video about tiktok. Subscribe for more!,CA
P60ektVKshS,2024-07-18,Rating Climate Change With 100 Kids,Vox,27,Education,2024-07-15T21:14:00.000Z,youtube|education|this experiment|trending|viral|building a house|tiktok|ai,2825456,320313,31654,67979,False,False,Watch this video about the government. Subscribe for more!,BR
Q2vSs80JDuu,2023-07-24,Reacting To the Algorithm,Vice,25,News & Politics,2023-07-18T18:27:00.000Z,politics|climate change|trending|youtube|viral|minecraft|news|music,3152112,91802,29475,52532,False,False,Watch this video about space. Subscribe for more!,US
Dh1FTGr1_pJ,2023-05-06,How AI Actually Works,Marvel,1,Film & Animation,2023-04-13T05:19:00.000Z,youtube|trending|animation|the internet|swimming with sharks|film|climate change|amazon|viral,5467736,160319,135677,202046,False,False,Watch this video about minecraft. Subscribe for more!,CA
Pj9i9vg2g6a,2024-04-21,The Truth About AI,Sony Music,10,Music,2024-04-19T10:47:00.000Z,viral|eating only pizza|this experiment|trending,4682912,272185,115770,153289,False,False,Watch this video about the algorithm. Subscribe for more!,US
S5cYsxjHKYk,2023-08-12,Building a House for 100 Hours Straight,A24,25,News & Politics,2023-08-04T23:05:00.000Z,news|youtube|viral|politics,1763860,147061,38702,36209,False,False,Watch this video about music. Subscribe for more!,MX
KK-s_QrKRVd,2024-05-18,100 Fans Is Not What You Think,TED,27,Education,2024-04-25T08:29:00.000Z,surviving on $1|this challenge|youtube|viral|education|minecraft|trending|this experiment|100 fans,3143114,183775,39593,41810,False,False,Watch this video about amazon. Subscribe for more!,DE
s3ZDeWoRRz2,2024-01-20,Building Food From Scratch,Gordon Ramsay,10,Music,2024-01-03T16:58:00.000Z,trending|music|this challenge|learning a new language|space|youtube|history|living underground,5014573,558647,118647,194858,False,False,Watch this video about this experiment. Subscribe for more!,CA
hpIyx8SILU4,2024-08-08,I Challenged this Experiment,DC,28,Science & Technology,2024-07-09T22:19:00.000Z,minecraft|viral|technology|youtube|music|science|trending,2405189,59010,4553,95864,False,False,Watch this video about space. Subscribe for more!,BR
YMr_-IZh3iw,2022-02-13,Reacting To YouTube,SETIndia,24,Entertainment,2022-02-11T10:15:00.000Z,the ocean|trending|building a house|viral|entertainment|youtube|science,6260571,634229,41269,200982,False,False,Watch this video about this experiment. Subscribe for more!,US
fMerOJu-HDM,2022-03-05,Building a House for 3 Hours Straight,Vice,25,News & Politics,2022-03-03T15:54:00.000Z,trending|science|viral|space|food|news,1168206,80637,26673,8845,False,False,Watch this video about ai. Subscribe for more!,IN
B6dstgGjE2w,2024-02-03,Building this Challenge From Scratch,Smosh,26,Howto & Style,2024-01-08T04:35:00.000Z,the algorithm|style|viral|breaking a world record|this experiment|living underground|learning a new language|howto|trending,3445155,210433,75678,130707,True,False,Watch this video about famous youtubers. Subscribe for more!,FR
XKfdkNRrQFC,2022-03-04,We Tried Music So You Don't Have To,Cocomelon,25,News & Politics,2022-03-01T23:33:00.000Z,viral|news|amazon|climate change,861404,46592,8511,26062,False,False,Watch this video about the ocean. Subscribe for more!,AU
Ze3cb63KKTA,2022-01-16,Surviving on $1 for 100 Hours Straight,Vox,27,Education,2021-12-31T23:27:00.000Z,science|coding an app|space|education|youtube,611291,55240,7950,20886,False,False,Watch this video about 100 fans. Subscribe for more!,DE
pjmMWPlXFWW,2022-08-22,World's Cheapest the Ocean,Vlad and Niki,25,News & Politics,2022-08-05T16:12:00.000Z,news|this challenge|youtube|trending|amazon|history,5832580,540901,120470,195544,False,False,Watch this video about ai. Subscribe for more!,IN
CZ1_fPcT-HN,2024-02-27,30 Things You Didn't Know About Food,A24,1,Film & Animation,2024-02-12T18:35:00.000Z,viral|animation|swimming with sharks|surviving on $1|youtube|living underground|this experiment|tiktok|film,5235762,421481,68236,201683,False,False,Watch this video about the ocean. Subscribe for more!,DE
Q1VRHPBxxln,2024-03-13,Reacting To 100 Fans,TED,27,Education,2024-03-08T19:45:00.000Z,trending|breaking a world record|swimming with sharks|education,4453980,256851,89079,149036,False,False,Watch this video about this experiment. Subscribe for more!,GB
U_NWYop9Y5m,2022-11-29,I Challenged Amazon,Warner Music,10,Music,2022-11-23T22:49:00.000Z,minecraft|music|the government|the ocean,72080733,6639954,147665,1279467,False,False,Watch this video about space. Subscribe for more!,AU
ougTvjc6E1W,2023-07-13,World's Largest AI,SETIndia,24,Entertainment,2023-06-28T16:09:00.000Z,building a house|the ocean|youtube|entertainment|coding an app|the algorithm|viral|trending,3925680,225318,40308,30840,False,False,Watch this video about history. Subscribe for more!,IN
wKlQHx9IYGb,2024-10-20,1000 vs 1: Food Edition,WWE,17,Sports,2024-09-30T17:01:00.000Z,coding an app|youtube|100 fans|surviving on $1,6814104,625905,54448,34443,False,False,Watch this video about the government. Subscribe for more!,BR
z0EcPs3dPrZ,2022-10-04,How Food Actually Works,Jimmy Fallon,24,Entertainment,2022-10-01T22:49:00.000Z,music|entertainment|money|viral|climate change|trending|ai|eating only pizza|this challenge,431165,46815,3696,6835,False,False,Watch this video about amazon. Subscribe for more!,BR
OYdQzGVkb2R,2022-12-08,World's Smallest AI,Warner Music,10,Music,2022-11-15T14:22:00.000Z,viral|trending|food|the ocean|youtube|tiktok,5739837,638044,90439,116076,False,False,Watch this video about 100 fans. Subscribe for more!,IN
s6Fh2C5CfR2,2024-10-19,30 Things You Didn't Know About the Algorithm,T-Series,10,Music,2024-10-02T12:58:00.000Z,breaking a world record|the government|surviving on $1|youtube|music|eating only pizza,9232780,424975,108120,368136,False,True,Watch this video about the algorithm. Subscribe for more!,MX
_PCRw4XOl9B,2022-09-23,The REAL Reason Behind Climate Change,Linus Tech Tips,28,Science & Technology,2022-09-03T02:04:00.000Z,trending|technology|the government|100 fans|youtube|the internet,3972612,385011,82472,30117,False,False,Watch this video about the ocean. Subscribe for more!,AU
0bcPKPXAOFO,2024-10-26,We Tried 100 Fans So You Don't Have To,A24,1,Film & Animation,2024-10-05T05:37:00.000Z,eating only pizza|swimming with sharks|animation|youtube|food|film|viral,11927161,960302,253102,294918,False,False,Watch this video about music. Subscribe for more!,FR
83A9507Umk-,2024-11-20,World's Largest Money,Zee Music,10,Music,2024-11-02T03:20:00.000Z,history|music|viral|famous youtubers,4828432,313653,21153,32694,False,False,Watch this video about money. Subscribe for more!,AU
xsyCJ0NNigx,2024-06-01,30 Things You Didn't Know About Minecraft,NowThis News,2,Autos & Vehicles,2024-05-27T08:46:00.000Z,climate change|tiktok|swimming with sharks|autos|viral|trending,1359727,33346,3029,33535,False,False,Watch this video about the internet. Subscribe for more!,GB
xR_LYUSbE9Y,2023-09-05,Reacting To Famous YouTubers,Tasty,26,Howto & Style,2023-08-17T10:32:00.000Z,surviving on $1|trending|style|this experiment|howto,8335818,757508,68311,279676,False,False,Watch this video about science. Subscribe for more!,CA
l6vwXUPSNmp,2024-08-23,Building Amazon From Scratch,Gordon Ramsay,26,Howto & Style,2024-07-26T23:46:00.000Z,the algorithm|viral|howto|minecraft|coding an app|learning a new language|youtube|the internet|music|eating only pizza,1188198,102449,16173,18988,True,False,Watch this video about ai. Subscribe for more!,DE
