country,trending_date,rolling_30d_avg_views
AU,2022-01-04,3547689.0
AU,2022-01-09,4845356.0
AU,2022-01-10,4060625.0
AU,2022-01-14,3573944.0
AU,2022-01-18,4013418.0
AU,2022-01-20,5153561.0
AU,2022-01-23,4616474.0
AU,2022-01-25,4108590.0
AU,2022-01-28,4148614.0
AU,2022-01-30,5484933.0
AU,2022-02-06,5164328.0
AU,2022-02-10,4916491.0
AU,2022-02-11,4751635.0
AU,2022-02-12,4739665.0
AU,2022-02-15,4494341.0
AU,2022-02-18,4349494.0
AU,2022-02-22,4124849.0
AU,2022-02-23,4145818.0
AU,2022-02-25,4208322.0
AU,2022-02-27,4229566.0
AU,2022-03-01,4095422.0
AU,2022-03-03,4101696.0
AU,2022-03-04,3960814.0
AU,2022-03-08,3825199.0
AU,2022-03-10,3804050.0
AU,2022-03-17,3690900.0
AU,2022-03-23,3588568.0
AU,2022-03-25,3643188.0
AU,2022-03-27,3907764.0
AU,2022-04-03,3946222.0
AU,2022-04-05,3913177.0
AU,2022-04-09,3870936.0
AU,2022-04-11,5034135.0
AU,2022-04-17,5095076.0
AU,2022-05-01,5106907.0
AU,2022-05-02,4757602.0
AU,2022-05-04,4751481.0
AU,2022-05-08,4942374.0
AU,2022-05-19,4862278.0
AU,2022-05-20,4600370.0
AU,2022-05-21,4611921.0
AU,2022-05-24,4603944.0
AU,2022-05-28,4527410.0
AU,2022-05-30,4820359.0
AU,2022-05-31,5056743.0
AU,2022-06-06,5094005.0
AU,2022-06-11,5226484.0
AU,2022-06-12,5137856.0
AU,2022-06-15,5115953.0
AU,2022-06-23,5033925.0
AU,2022-06-24,5095359.0
AU,2022-06-29,5035313.0
AU,2022-07-01,5141825.0
AU,2022-07-05,5255683.0
AU,2022-07-06,5191252.0
AU,2022-07-08,5271229.0
AU,2022-07-09,5280440.0
AU,2022-07-13,5205130.0
AU,2022-07-15,4888374.0
AU,2022-07-16,4823741.0
AU,2022-07-18,4934481.0
AU,2022-07-21,4834946.0
