query_num,name,rows_returned,output_file,status
1,top_10_mostviewed_videos_all_time,10,Q01_top_10_mostviewed_videos_all_time.csv,OK
2,channel_performance_total_views__avg_engagement,15,Q02_channel_performance_total_views__avg_engagement.csv,OK
3,categorylevel_engagement_benchmarks,15,Q03_categorylevel_engagement_benchmarks.csv,OK
4,trending_videos_by_country_volume__avg_views,10,Q04_trending_videos_by_country_volume__avg_views.csv,OK
5,monthly_trending_volume__average_views_202224,36,Q05_monthly_trending_volume__average_views_202224.csv,OK
6,daystotrend_distribution,5,Q06_daystotrend_distribution.csv,OK
7,approval_rate_most_liked_vs_most_disliked_topics,15,Q07_approval_rate_most_liked_vs_most_disliked_topics.csv,OK
8,top10_channels_by_trending_appearances,10,Q08_top10_channels_by_trending_appearances.csv,OK
9,publish_hour_vs_average_views_best_time_to_post,10,Q09_publish_hour_vs_average_views_best_time_to_post.csv,OK
10,comment_engagement_outliers_high_views_no_cmts,10,Q10_comment_engagement_outliers_high_views_no_cmts.csv,OK
11,yearoveryear_growth_views__video_count,3,Q11_yearoveryear_growth_views__video_count.csv,OK
12,viral_outliers_views__3_category_average,15,Q12_viral_outliers_views__3_category_average.csv,OK
13,rolling_30day_average_views_per_country,4003,Q13_rolling_30day_average_views_per_country.csv,OK
14,tag_analysis_most_common_tags_in_trending_videos,20,Q14_tag_analysis_most_common_tags_in_trending_videos.csv,OK
15,channel_consistency_score_low_variance__stable,15,Q15_channel_consistency_score_low_variance__stable.csv,OK
